time,frame_nr,cursor_x,cursor_y,shift_applied,vx,vy,vabs,trial,con_index,normtime
0.0007100000002537,1.0,-244.0,-237.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0
0.0064893329981714,2.0,-244.0,-237.0,1.0,0.0,0.0,0.0,0.0,6.0,0.01
0.0101164170046104,3.0,-244.0,-238.0,1.0,0.0,-40.09459018158067,40.09459018158067,0.0,6.0,0.02
0.0231227500044042,4.0,-244.0,-238.0,1.0,0.0,-40.09459018158067,40.09459018158067,0.0,6.0,0.03
0.0261939580013859,5.0,-244.0,-238.0,1.0,20.047295090790335,-40.09459018158067,44.82711458800501,0.0,6.0,0.04
0.039673416998994,6.0,-244.0,-239.0,1.0,40.09459018158067,-40.09459018158067,56.70231321258252,0.0,6.0,0.05
0.0444312920008087,7.0,-243.0,-239.0,1.0,40.09459018158067,-20.047295090790335,44.82711458800501,0.0,6.0,0.06
0.0565280420050839,8.0,-243.0,-239.0,1.0,4831.39811688047,-20.047295090790335,4831.439708599975,0.0,6.0,0.07
0.0595388330038986,9.0,-243.0,-239.0,1.0,9622.70164357936,-40.09459018158067,9622.785173613029,0.0,6.0,0.08
0.0730730420036707,10.0,-3.0,-240.0,1.0,9622.70164357936,-40.09459018158067,9622.785173613029,0.0,6.0,0.09
0.0754778330010594,11.0,-3.0,-240.0,1.0,4811.35082178968,-20.047295090790335,4811.392586806514,0.0,6.0,0.1
0.0899182080029277,12.0,-3.0,-240.0,1.0,0.0,0.0,0.0,0.0,6.0,0.11
0.0979604579988517,13.0,-3.0,-240.0,1.0,0.0,0.0,0.0,0.0,6.0,0.12
0.1007571670052129,14.0,-3.0,-240.0,1.0,-4831.39811688047,20.047295090790335,4831.439708599975,0.0,6.0,0.13
0.1145579580042976,15.0,-3.0,-240.0,1.0,-9662.79623376094,40.09459018158067,9662.87941719995,0.0,6.0,0.14
0.1230647500051418,16.0,-244.0,-239.0,1.0,-9662.79623376094,40.09459018158067,9662.87941719995,0.0,6.0,0.15
0.1276294999988749,17.0,-244.0,-239.0,1.0,-4831.39811688047,40.09459018158067,4831.564481610277,0.0,6.0,0.16
0.1398355830024229,18.0,-244.0,-239.0,1.0,0.0,40.09459018158067,40.09459018158067,0.0,6.0,0.17
0.1429366250013117,19.0,-244.0,-238.0,1.0,0.0,40.09459018158067,40.09459018158067,0.0,6.0,0.18
0.1563845830023638,20.0,-244.0,-238.0,1.0,0.0,20.047295090790335,20.047295090790335,0.0,6.0,0.19
0.1591097080017789,21.0,-244.0,-238.0,1.0,0.0,20.047295090790335,20.047295090790335,0.0,6.0,0.2
0.1730961670036777,22.0,-244.0,-238.0,1.0,0.0,60.141885272371,60.141885272371,0.0,6.0,0.21
0.1786913329997332,23.0,-244.0,-237.0,1.0,0.0,80.18918036316134,80.18918036316134,0.0,6.0,0.22
0.1898438749994966,24.0,-244.0,-236.0,1.0,0.0,80.18918036316134,80.18918036316134,0.0,6.0,0.23
0.1919740000012098,25.0,-244.0,-236.0,1.0,0.0,60.141885272371,60.141885272371,0.0,6.0,0.24
0.2066932919988175,26.0,-244.0,-235.0,1.0,0.0,60.141885272371,60.141885272371,0.0,6.0,0.25
0.2093254580031498,27.0,-244.0,-235.0,1.0,0.0,60.141885272371,60.141885272371,0.0,6.0,0.26
0.2233032920048572,28.0,-244.0,-234.0,1.0,0.0,60.141885272371,60.141885272371,0.0,6.0,0.27
0.225534333003452,29.0,-244.0,-234.0,1.0,0.0,60.141885272371,60.141885272371,0.0,6.0,0.28
0.2398963750019902,30.0,-244.0,-233.0,1.0,0.0,80.18918036316134,80.18918036316134,0.0,6.0,0.29
0.2420230420029838,31.0,-244.0,-233.0,1.0,0.0,100.23647545395167,100.23647545395167,0.0,6.0,0.3
0.2566360420023557,32.0,-244.0,-231.0,1.0,-20.047295090790335,140.33106563553233,141.7557830314563,0.0,6.0,0.31
0.2586315830048988,33.0,-244.0,-231.0,1.0,-40.09459018158067,160.37836072632268,165.31423033450986,0.0,6.0,0.32
0.2659672080044402,33.5,-244.5,-229.5,1.0,-50.118237726975835,180.425655817113,187.30706787846935,0.0,6.0,0.33
0.2733028330039815,34.0,-245.0,-228.0,1.0,-60.141885272371,200.47295090790334,209.29990542242885,0.0,6.0,0.34
0.2758554579995689,35.0,-245.0,-228.0,1.0,-60.141885272371,240.567541089484,247.9713455017648,0.0,6.0,0.35000000000000003
0.2898049580035149,36.0,-246.0,-224.0,1.0,-60.141885272371,280.66213127106465,287.03358391263447,0.0,6.0,0.36
0.2920040829994832,37.0,-246.0,-223.0,1.0,-60.141885272371,280.66213127106465,287.03358391263447,0.0,6.0,0.37
0.3066639579992625,38.0,-247.0,-219.0,1.0,-60.141885272371,340.8040165434357,346.06996988507024,0.0,6.0,0.38
0.309043749999546,39.0,-247.0,-219.0,1.0,-80.18918036316134,461.08778708817766,468.00881620882774,0.0,6.0,0.39
0.3231253749981988,40.0,-248.0,-211.0,1.0,-100.23647545395167,701.6553281776617,708.7789151572814,0.0,6.0,0.4
0.3255116250002174,41.0,-249.0,-208.0,1.0,-100.23647545395167,821.9390987224036,828.0285218638472,0.0,6.0,0.41000000000000003
0.3400060830026632,42.0,-250.0,-195.0,1.0,-60.141885272371,1042.4593447210973,1044.1927656139237,0.0,6.0,0.42
0.3423812080000061,43.0,-250.0,-194.0,1.0,-40.09459018158067,1242.9322956290007,1243.5788144220721,0.0,6.0,0.43
0.356415583002672,44.0,-250.0,-173.0,1.0,-40.09459018158067,1583.7363121724363,1584.243757335145,0.0,6.0,0.44
